Stock,Entry_time,Entry_Price,qty,value
bajajfinsv_15min,2017-08-01 15:00:00,5049.94999,-9,45449.54991
heromotoco_15min,2017-08-01 15:15:00,3737.9,13,-48592.700000000004
eichermot_15min,2017-08-01 15:30:00,31553.0999,1,-31553.0999
bajajfinsv_15min,2017-08-02 09:30:00,5097.05,9,-45873.450000000004
drreddy_15min,2017-08-02 09:45:00,2418.0,-20,48360.0
adaniports_15min,2017-08-02 10:00:00,406.5,123,-49999.5
bajaj_auto_15min,2017-08-02 10:15:00,2818.15,-17,47908.55
hdfc_15min,2017-08-02 10:30:00,1778.25,-27,48012.75
coalindia_15min,2017-08-02 10:45:00,253.949999,197,-50028.149803
bajajfinsv_15min,2017-08-02 11:00:00,5049.94999,-9,45449.54991
grasim_15min,2017-08-02 11:15:00,1094.2,-45,49239.0
asianpaint_15min,2017-08-02 11:30:00,1146.75,-43,49310.25
hdfcbank_15min,2017-08-02 12:00:00,896.1499949999999,-55,49288.249724999994
ioc_15min,2017-08-02 12:15:00,186.125,270,-50253.75
coalindia_15min,2017-08-02 12:30:00,252.699999,-198,50034.599802
hindalco_15min,2017-08-02 12:45:00,225.449999,223,-50275.349776999996
eichermot_15min,2017-08-02 13:00:00,31466.45,-1,31466.45
jswsteel_15min,2017-08-02 13:15:00,219.15,226,-49527.9
bpcl_15min,2017-08-02 13:30:00,487.899999,-102,49765.799898
axisbank_15min,2017-08-02 13:45:00,520.75,-96,49992.0
britannia_15min,2017-08-02 14:00:00,1936.0,25,-48400.0
titan_15min,2017-08-02 14:15:00,544.0,-92,50048.0
adaniports_15min,2017-08-02 14:30:00,406.0,-123,49938.0
ioc_15min,2017-08-02 14:45:00,185.97499950000002,-268,49841.29986600001
titan_15min,2017-08-02 15:00:00,548.6,92,-50471.200000000004
adaniports_15min,2017-08-02 15:15:00,409.3,122,-49934.6
asianpaint_15min,2017-08-02 15:30:00,1150.25,43,-49460.75
heromotoco_15min,2017-08-03 09:30:00,3824.0,-13,49712.0
bajajfinsv_15min,2017-08-03 09:45:00,5062.5,9,-45562.5
asianpaint_15min,2017-08-03 10:00:00,1136.84999,-43,48884.549569999996
gail_15min,2017-08-03 10:15:00,139.25625000000002,359,-49992.99375000001
bajfinance_15min,2017-08-03 10:30:00,1707.5499899999998,-29,49518.94970999999
adaniports_15min,2017-08-03 10:45:00,405.94999900000005,-122,49525.899878000004
bajaj_auto_15min,2017-08-03 11:00:00,2824.0,17,-48008.0
bajajfinsv_15min,2017-08-03 11:15:00,5077.85,9,-45700.65
sunpharma_15min,2017-08-03 11:30:00,532.0,93,-49476.0
heromotoco_15min,2017-08-03 11:45:00,3808.15,13,-49505.950000000004
cipla_15min,2017-08-03 12:00:00,569.5,-88,50116.0
heromotoco_15min,2017-08-03 12:15:00,3812.0,13,-49556.0
bhartiartl_15min,2017-08-03 12:30:00,416.55,-120,49986.0
adaniports_15min,2017-08-03 13:00:00,409.3,122,-49934.6
asianpaint_15min,2017-08-03 13:15:00,1148.95,43,-49404.85
bhartiartl_15min,2017-08-03 13:30:00,418.94999900000005,120,-50273.99988
cipla_15min,2017-08-03 13:45:00,565.2,-88,49737.600000000006
hindalco_15min,2017-08-03 14:00:00,223.59999900000003,-224,50086.399776000006
gail_15min,2017-08-03 14:15:00,138.675,-361,50061.675
indusindbk_15min,2017-08-03 14:45:00,1653.2,-30,49596.0
adaniports_15min,2017-08-03 15:00:00,406.55,-122,49599.1
bajfinance_15min,2017-08-03 15:15:00,1715.7,-29,49755.3
hindunilvr_15min,2017-08-03 15:30:00,1173.95,-42,49305.9
ioc_15min,2017-08-04 09:30:00,197.22499950000002,258,-50884.049871
bpcl_15min,2017-08-04 09:45:00,496.55,100,-49655.0
gail_15min,2017-08-04 10:00:00,139.6875,361,-50427.1875
hindalco_15min,2017-08-04 10:15:00,225.5,224,-50512.0
bajaj_auto_15min,2017-08-04 10:30:00,2834.0,-17,48178.0
bajajfinsv_15min,2017-08-04 10:45:00,5139.14999,-9,46252.34991
bhartiartl_15min,2017-08-04 11:00:00,418.6,-119,49813.4
grasim_15min,2017-08-04 11:15:00,1118.59999,-45,50336.99955
cipla_15min,2017-08-04 11:30:00,560.899999,88,-49359.199912
asianpaint_15min,2017-08-04 11:45:00,1152.25,-43,49546.75
adaniports_15min,2017-08-04 12:00:00,406.94999900000005,-123,50054.84987700001
eichermot_15min,2017-08-04 12:15:00,30984.0,1,-30984.0
hdfcbank_15min,2017-08-04 12:30:00,890.7749949999999,56,-49883.399719999994
bajfinance_15min,2017-08-04 12:45:00,1720.0,29,-49880.0
infy_15min,2017-08-04 13:00:00,493.89999950000004,99,-48896.0999505
axisbank_15min,2017-08-04 13:15:00,509.69999900000005,96,-48931.19990400001
hdfcbank_15min,2017-08-04 13:30:00,890.75,56,-49882.0
tcs_15min,2017-08-04 13:45:00,1252.5,-40,50100.0
asianpaint_15min,2017-08-04 14:00:00,1157.0,43,-49751.0
axisbank_15min,2017-08-04 14:15:00,510.5,98,-50029.0
britannia_15min,2017-08-04 14:30:00,1939.575,-25,48489.375
drreddy_15min,2017-08-04 14:45:00,2271.0,21,-47691.0
drreddy_15min,2017-08-04 15:00:00,2264.0,-22,49808.0
tatamotors_15min,2017-08-04 15:15:00,437.3,-114,49852.200000000004
adaniports_15min,2017-08-04 15:30:00,408.649999,123,-50263.949877
adaniports_15min,2017-08-07 09:30:00,410.55,122,-50087.1
tatamotors_15min,2017-08-07 09:45:00,440.399999,114,-50205.599885999996
asianpaint_15min,2017-08-07 10:00:00,1150.34999,-43,49465.049569999996
hcltech_15min,2017-08-07 10:15:00,444.5,-112,49784.0
cipla_15min,2017-08-07 10:30:00,565.95,-88,49803.600000000006
hdfc_15min,2017-08-07 10:45:00,1734.0,-29,50286.0
axisbank_15min,2017-08-07 11:00:00,510.25,-98,50004.5
hcltech_15min,2017-08-07 11:15:00,442.625,-113,50016.625
bajaj_auto_15min,2017-08-07 11:30:00,2893.8,-17,49194.600000000006
britannia_15min,2017-08-07 11:45:00,1975.0,25,-49375.0
bhartiartl_15min,2017-08-07 12:15:00,420.6,-119,50051.4
hindunilvr_15min,2017-08-07 12:30:00,1186.09999,42,-49816.19958
bhartiartl_15min,2017-08-07 12:45:00,420.0,-120,50400.0
bajaj_auto_15min,2017-08-07 13:00:00,2889.09999,-17,49114.699830000005
indusindbk_15min,2017-08-07 13:15:00,1671.2,30,-50136.0
cipla_15min,2017-08-07 13:30:00,569.0,89,-50641.0
cipla_15min,2017-08-07 13:45:00,570.2,88,-50177.600000000006
adaniports_15min,2017-08-07 14:00:00,416.44999900000005,-122,50806.899878000004
bajaj_auto_15min,2017-08-07 14:15:00,2901.25,17,-49321.25
asianpaint_15min,2017-08-07 14:30:00,1154.9,43,-49660.700000000004
indusindbk_15min,2017-08-07 14:45:00,1666.75,-30,50002.5
bajfinance_15min,2017-08-07 15:00:00,1798.0,28,-50344.0
bhartiartl_15min,2017-08-07 15:15:00,421.0,120,-50520.0
britannia_15min,2017-08-07 15:30:00,2066.275,-25,51656.875
gail_15min,2017-08-08 09:30:00,143.4375,-352,50490.0
britannia_15min,2017-08-08 09:45:00,2037.825,-24,48907.8
asianpaint_15min,2017-08-08 10:00:00,1151.0,-43,49493.0
asianpaint_15min,2017-08-08 10:15:00,1147.0,-44,50468.0
coalindia_15min,2017-08-08 10:30:00,247.4,-204,50469.6
lt_15min,2017-08-08 10:45:00,1160.0,-43,49880.0
tcs_15min,2017-08-08 11:00:00,1253.0,-40,50120.0
bajaj_auto_15min,2017-08-08 11:15:00,2923.05,17,-49691.850000000006
bhartiartl_15min,2017-08-08 11:30:00,416.1,-121,50348.100000000006
cipla_15min,2017-08-08 11:45:00,569.1,-88,50080.8
eichermot_15min,2017-08-08 12:00:00,32428.65,1,-32428.65
adaniports_15min,2017-08-08 12:15:00,414.149999,-122,50526.299878
axisbank_15min,2017-08-08 12:30:00,504.399999,-100,50439.999899999995
bhartiartl_15min,2017-08-08 12:45:00,419.85,121,-50801.850000000006
adaniports_15min,2017-08-08 13:00:00,416.8,122,-50849.6
adaniports_15min,2017-08-08 13:15:00,417.85,120,-50142.0
eichermot_15min,2017-08-08 13:30:00,31999.95,-1,31999.95
eichermot_15min,2017-08-08 13:45:00,31900.0,-1,31900.0
bajfinance_15min,2017-08-08 14:00:00,1788.5499899999998,-28,50079.399719999994
hcltech_15min,2017-08-08 14:15:00,441.8,114,-50365.200000000004
sunpharma_15min,2017-08-08 14:30:00,502.44999900000005,-100,50244.9999
bajaj_auto_15min,2017-08-08 14:45:00,2943.15,-17,50033.55
asianpaint_15min,2017-08-08 15:00:00,1148.9,44,-50551.600000000006
coalindia_15min,2017-08-08 15:15:00,245.75,204,-50133.0
adaniports_15min,2017-08-08 15:30:00,414.94999900000005,-120,49793.99988
eichermot_15min,2017-08-09 09:30:00,32199.95,1,-32199.95
gail_15min,2017-08-09 09:45:00,143.21249962500002,-351,50267.58736837501
bhartiartl_15min,2017-08-09 10:00:00,416.5,-121,50396.5
adaniports_15min,2017-08-09 10:15:00,417.19999900000005,121,-50481.19987900001
bpcl_15min,2017-08-09 10:30:00,512.5499990000002,97,-49717.34990300002
infratel_15min,2017-08-09 10:45:00,382.6,-132,50503.200000000004
asianpaint_15min,2017-08-09 11:00:00,1143.09999,-44,50296.39956
adaniports_15min,2017-08-09 11:15:00,412.05,-121,49858.05
cipla_15min,2017-08-09 11:30:00,571.0499990000002,-87,49681.34991300001
bpcl_15min,2017-08-09 11:45:00,506.3,-99,50123.700000000004
britannia_15min,2017-08-09 12:00:00,2018.025,-25,50450.625
adaniports_15min,2017-08-09 12:15:00,404.0,-125,50500.0
asianpaint_15min,2017-08-09 12:30:00,1152.0,44,-50688.0
asianpaint_15min,2017-08-09 12:45:00,1152.9,43,-49574.700000000004
itc_15min,2017-08-09 13:00:00,272.85,179,-48840.15
ioc_15min,2017-08-09 13:15:00,207.8,-243,50495.4
eichermot_15min,2017-08-09 13:30:00,32180.0999,-1,32180.0999
hindalco_15min,2017-08-09 13:45:00,240.25,-209,50212.25
maruti_15min,2017-08-09 14:00:00,7692.0,-6,46152.0
eichermot_15min,2017-08-09 14:15:00,31705.0,-1,31705.0
bhartiartl_15min,2017-08-09 14:30:00,417.35,121,-50499.350000000006
bhartiartl_15min,2017-08-09 14:45:00,418.3,120,-50196.0
britannia_15min,2017-08-09 15:00:00,2031.525,24,-48756.600000000006
infy_15min,2017-08-09 15:15:00,486.0,-104,50544.0
icicibank_15min,2017-08-09 15:30:00,292.25,-173,50559.25
gail_15min,2017-08-10 09:30:00,142.35000000000002,-357,50818.95000000001
cipla_15min,2017-08-10 09:45:00,571.0,89,-50819.0
heromotoco_15min,2017-08-10 10:00:00,3897.69999,12,-46772.39988
asianpaint_15min,2017-08-10 10:15:00,1154.59999,-43,49647.799569999996
bhartiartl_15min,2017-08-10 10:30:00,416.899999,-120,50027.999879999996
hdfcbank_15min,2017-08-10 10:45:00,881.2749949999999,-57,50232.674714999994
cipla_15min,2017-08-10 11:00:00,563.5499990000002,-90,50719.49991000001
axisbank_15min,2017-08-10 11:15:00,494.44999900000005,100,-49444.9999
asianpaint_15min,2017-08-10 11:30:00,1161.29999,43,-49935.89957
